Country Name,Series Name,1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Argentina,"Physicians (per 1,000 people)",..,..,..,..,..,..,..,..,2.683,2.705,2.984,..,3.032,..,2.68,..,2.6484,..,..,2.68,..,..,3.0169,..,..,3.2481,..,..,3.1857,3.21,..,..,..,..,3.21,..,..,3.9385,..,..,4.0013,3.9901,..,..
Argentina,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66,67,65,65,61,59,57,56,53,56,51,48,47,44,42,41,40,39,..,..
Argentina,Research and development expenditure (% of GDP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.417490005,0.419589996,0.411309987,0.453370005,0.438840002,0.424600005,0.388859987,0.41012001,0.365550011,0.378670007,0.400330007,0.401690006,0.421350002,0.519010007,0.517610013,0.53658998,0.60939002,0.611750007,0.613030016,..,..,..,..,..
Australia,Secure Internet servers (per 1 million people),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1402.793695,2171.394265,3187.899425,3505.125728,3938.58565,4574.110802,9810.215053,21544.79377,32903.58507,36720.85344
Australia,Individuals using the Internet (% of population),..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.585094712,1.097203891,1.768764913,1.974611016,2.232101254,2.759654513,3.27524987,16.36935838,30.81323944,40.7837839,46.75611561,52.68926643,..,..,..,63,66,69.45,71.67,74.25,76,79.48769771,79,83.45349717,84,84.56051935,86.54,86.54504885,..,..
Australia,"Government expenditure on education, total (% of GDP)",..,..,6.00891,5.89687,5.65408,..,5.47971,5.37198,..,5.40543,5.28061,5.0699,4.91834,4.74911,4.6764,4.79483,4.69247,5.51661,5.25482,5.14391,5.24097,..,..,..,4.89147,..,..,..,..,4.9103,4.7502,4.66089,4.63776,5.08582,5.55006,5.07451,4.869,5.22974,5.16477,5.31196,5.27163,..,..,..
Australia,"Literacy rate, adult total (% of people ages 15 and above)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,"Automated teller machines (ATMs) (per 100,000 adults)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,139.554,146.4312,154.701,155.2583,157.8209,154.2996,168.6564,170.4668,164.6386,161.0863,165.13,163.7904,167.5855,160.2205,146.0294,..
Australia,"Life expectancy at birth, total (years)",73.01463415,73.34439024,73.67414634,74.00390244,74.33365854,74.66341463,74.90487805,75.14634146,75.38780488,75.62926829,75.87073171,76.15170732,76.43268293,76.71365854,76.99463415,77.27560976,77.37804878,77.87804878,77.87804878,77.82926829,78.07804878,78.4804878,78.63170732,78.93170732,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049,..
Australia,Fixed broadband subscriptions (per 100 people),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.639760867,1.330318563,2.633487711,5.090633139,9.990812021,19.00001184,..,24.91529036,24.00365852,24.8705928,24.63395046,25.03935129,25.71929639,27.69911237,28.53023892,30.39231558,32.22339821,30.68500827,..
Australia,Mobile cellular subscriptions (per 100 people),0,0,0,0,0,0,0,0,0,0,0,0.027330866,0.192204655,0.56556816,1.090427418,1.695589799,2.855965172,3.919740752,6.854499043,12.46035002,21.93600108,24.897736,26.45932342,33.61154717,45.08349055,57.99526035,65.30467336,73.10883938,82.89884796,91.28509793,96.26672665,101.6430022,103.6926101,102.0649721,101.558682,105.5506209,106.2611564,107.2461548,106.2025331,107.6778349,109.4312952,111.7080516,113.5787106,..
Australia,"School enrollment, secondary (gross), gender parity index (GPI)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.00467,0.99707,0.99617,0.99589,1.0318,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.86901,0.86744,0.88778,..,..
Australia,"Hospital beds (per 1,000 people)",11.89999962,12.10000038,12.10000038,12.19999981,12.30000019,12.19999981,12.10000038,11.89999962,11.69999981,10.89999962,..,10.5,..,9.800000191,..,9.199999809,8.899999619,8.899999619,8.699999809,8.699999809,8.5,8.300000191,8.199999809,7.900000095,7.800000191,7.599999905,4,..,3.9,4,3.97,..,..,3.8,3.9,3.8,..,..,3.8,..,..,..,..,..
Australia,"Physicians (per 1,000 people)",1.5,..,..,..,..,1.8,..,..,1.8,1.9,2,2.1,2.1,2.1,2.2,2.3,2.4,2.4,2.4,2.4,2.5313,2.4,2.4,2.4,2.5,2.4942,2.5,..,..,2.7794,2.8338,2.9954,3.0056,3.1085,3.3429,3.2878,3.2858,3.353,3.4314,3.4886,3.5672,3.6778,..,..
Australia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,6,6,6,5,5,5,5,5,5,5,6,6,6,6,6,6,6,..,..
Australia,Research and development expenditure (% of GDP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.662209988,..,1.514950037,..,1.576609969,..,1.753620028,..,1.85394001,..,2.183099985,..,2.402420044,..,2.383949995,2.246059895,..,2.195749998,..,..,..,..,..,..
Austria,Secure Internet servers (per 1 million people),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,690.1496089,1068.443927,1613.40623,1857.468016,2345.327061,3081.907631,4449.980244,7431.714636,16705.01094,26306.77452
Austria,Individuals using the Internet (% of population),..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.130369377,0.259081553,0.642817619,0.76534273,1.393422968,1.890210524,6.909162353,9.533974317,15.42121932,23.0443171,33.73013295,39.18545018,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.7399931,80.02999392,80.6188,80.99582496,83.94014193,84.32374257,87.93558659,87.47913723,..
Austria,"Government expenditure on education, total (% of GDP)",5.23766,4.95401,5.15979,5.03816,5.00897,5.36781,5.36299,5.30378,5.29447,5.29721,5.49996,5.37611,5.19073,5.01817,4.95725,5.10322,5.29698,5.252,..,5.42835,5.2599,..,6.10374,6.11234,5.58881,5.57548,5.52213,5.36183,5.30243,5.24937,5.22652,5.1469,5.26396,5.73025,5.70048,5.59227,5.4804,5.54711,5.44762,5.45675,5.5007,..,..,..
Austria,"Literacy rate, adult total (% of people ages 15 and above)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,"Automated teller machines (ATMs) (per 100,000 adults)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,116.1557,106.788,108.3359,108.6152,110.1537,112.3358,112.9183,113.8039,115.6367,117.2913,186.3976,183.2707,162.7821,164.7691,168.8947,..
Austria,"Life expectancy at birth, total (years)",71.56585366,71.91463415,72.01219512,72.31219512,72.46341463,72.81219512,72.96097561,73.01219512,73.61219512,73.81463415,74.31707317,74.76829268,75.21707317,75.26585366,75.56829268,75.61707317,75.81707317,76.06829268,76.4195122,76.66829268,76.87073171,77.3195122,77.67073171,77.87560976,78.12682927,78.57560976,78.67804878,78.63170732,79.1804878,79.33170732,79.8804878,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64390244,81.69268293,..
Austria,Fixed broadband subscriptions (per 100 people),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.632210727,2.360806595,3.959125426,5.54434666,7.350915843,10.58805704,14.22400998,17.2835331,19.50987865,20.72760735,22.43639807,24.38064725,24.81457091,25.05461216,26.092224,27.38179226,28.2935384,28.84661223,28.47197491,28.35440316,..
Austria,Mobile cellular subscriptions (per 100 people),0,0,0,0,0,0,0,0,0,0.128196575,0.25053135,0.343262099,0.481848426,0.659865022,0.954149231,1.484709112,2.202202471,2.798486991,3.500587439,4.800115042,7.467176728,14.43692147,28.51493275,52.79261389,75.80605745,80.77554402,82.8086898,88.96932087,97.26408257,104.9838556,112.0170885,119.2243632,129.6644309,136.5634805,145.5537959,154.0495234,159.8169515,155.1157881,150.345714,155.2154711,126.6614696,123.1192958,123.5352681,..
Austria,"School enrollment, secondary (gross), gender parity index (GPI)",0.88981,..,..,..,..,0.89766,0.91185,0.90513,0.90554,0.92766,0.9122,0.90257,0.90912,0.92326,0.91464,0.9227,0.9235,0.9304,0.93683,0.93914,0.94523,0.9534,0.94599,0.95474,0.95937,0.95919,0.95146,0.94848,0.94493,0.95163,0.96009,0.96052,0.95789,0.95513,0.96073,0.961,0.96243,0.96559,0.96248,0.96434,0.96121,0.95955,..,..
Austria,"Hospital beds (per 1,000 people)",..,..,..,..,11.19999981,..,..,..,..,10.89999962,10.80000019,10.69999981,10.60000038,10.39999962,10.19999981,9.899999619,9.699999809,9.399999619,9.5,9.399999619,9.300000191,9.199999809,9,8.899999619,7.9,7.8,7.8,7.7,7.7,7.7,7.7,7.8,7.7,7.7,7.7,7.7,7.7,7.6,..,..,..,..,..,..
Austria,"Physicians (per 1,000 people)",1.5,1.5,1.5,1.6,..,..,..,..,..,..,..,..,..,..,2.9909,3.0813,3.2174,3.3018,3.4028,3.4932,3.5622,3.6383,3.7642,3.7613,3.8492,3.9616,4.0337,4.1173,4.2095,4.3355,4.4684,4.5528,4.6169,4.706,4.8016,4.8398,4.8859,4.9744,5.0359,5.1035,5.1234,5.1697,..,..
Austria,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,6,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,..,..
Austria,Research and development expenditure (% of GDP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.584310055,1.658550024,1.736129999,1.849300027,1.889660001,1.995990038,2.069930077,2.182679892,2.173680067,2.383239985,2.371150017,2.432399988,2.585570097,2.613579988,2.737839937,2.68163991,2.885610104,2.964359999,2.986089945,..,..,..,..,..
Bahrain,Secure Internet servers (per 1 million people),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.94801992,109.5332242,208.4706791,247.9032782,288.9059372,328.0239618,346.474343,359.4199484,370.8331448,388.7465787
Bahrain,Individuals using the Internet (% of population),..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,0.346205844,0.843254219,1.646299202,3.218202151,4.720358118,6.153732546,15.03863425,18.05072089,21.55494499,21.45868051,21.30373351,28.24395243,32.91,51.95,53,55,76.9999665,88,90.0000397,90.50313348,93.47830114,97.9999807,95.87813575,98.64467258,..
Bahrain,"Government expenditure on education, total (% of GDP)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.87436,2.575,2.49678,..,..,..,2.64531,2.47688,2.46746,2.66808,..,2.32721,..,..
Bahrain,"Literacy rate, adult total (% of people ages 15 and above)",..,..,..,..,..,69.75351,..,..,..,..,..,..,..,..,..,84.01383,..,..,..,..,..,..,..,..,..,86.54874,..,..,..,..,..,..,..,..,90.9774,..,..,..,..,..,97.06668,97.40389,97.46419,..
Bahrain,"Automated teller machines (ATMs) (per 100,000 adults)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,"Life expectancy at birth, total (years)",67.616,68.152,68.651,69.117,69.55,69.951,70.317,70.651,70.957,71.237,71.496,71.736,71.962,72.178,72.39,72.598,72.803,73.006,73.209,73.413,73.619,73.826,74.033,74.239,74.44,74.635,74.822,74.999,75.167,75.326,75.478,75.625,75.77,75.913,76.057,76.2,76.342,76.484,76.624,76.762,76.899,77.032,77.163,..
Bahrain,Fixed broadband subscriptions (per 100 people),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.168591274,0.677416459,1.250404516,1.80226645,2.410353995,4.03039175,6.588642548,8.398937416,11.77249392,12.4842448,22.80802503,22.72305576,22.81746092,21.52364201,18.44522474,16.29866067,14.31520217,11.76230339,..
Bahrain,Mobile cellular subscriptions (per 100 people),0,0,0,0,0,0,0,0,0,0,0.142567131,0.381316388,0.620380999,0.88362396,1.037845991,1.442639674,1.851129642,2.118572947,3.205339321,4.896247452,6.926275261,9.840300808,15.00130357,20.96769886,30.9544982,42.94877033,52.91329885,56.90310103,78.29953582,86.2723862,94.68029607,107.7284035,129.2597347,118.3024549,126.2833841,132.5078179,163.3841919,168.0717065,174.3161125,183.6245336,210.0492218,158.2568089,133.3409369,..
Bahrain,"School enrollment, secondary (gross), gender parity index (GPI)",0.96116,0.9439,0.92358,0.85994,0.84862,0.80898,0.84788,0.86114,0.91045,0.92455,0.95474,0.95671,0.97265,1.00802,1.02331,1.04289,1.07088,1.06665,1.058,1.0395,1.04991,1.08125,1.07201,1.06944,1.04953,1.07339,1.12024,1.12036,1.10965,1.10915,1.09777,..,1.08077,1.04887,1.01398,0.97724,1.01846,1.01188,1.00561,0.99311,1.00814,1.03586,1.06135,..
Bahrain,"Hospital beds (per 1,000 people)",..,..,..,..,3.314399958,..,..,..,..,..,..,..,..,3.33949995,..,..,..,..,..,..,..,2.900000095,..,..,2.8,2.8,2.9,2.8,2.8,2.8,2.7,2.7,2,1.9,1.8,1.7,2.1,2.1,2,..,..,..,..,..
Bahrain,"Physicians (per 1,000 people)",..,..,..,..,1.087,..,..,..,..,1.219,..,..,..,..,..,1.315,..,0.11,..,..,..,1,..,..,1.0202,1.0636,1.0774,1.0479,0.9677,1.0436,1.0142,1.0155,0.9896,0.9695,0.9493,0.9451,0.957,0.9536,0.9573,0.9257,..,..,..,..
Bahrain,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27,19,25,21,21,19,24,16,18,19,18,15,18,17,15,15,15,14,..,..
Bahrain,Research and development expenditure (% of GDP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.099770002,..,..,..,..,..
Bangladesh,Secure Internet servers (per 1 million people),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.203285872,0.489034317,0.735061334,0.955718323,1.307272726,2.009519285,23.61828297,65.2155153,115.9671501,100.1802183
Bangladesh,Individuals using the Internet (% of population),..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,0.000751046,0.003684813,0.036170407,0.071039423,0.129807974,0.139920289,0.163877665,0.199036334,0.241637326,1,1.8,2.5,3.1,3.7,4.5,5,6.63,13.9,14.4,18.02,15,..,..
Bangladesh,"Government expenditure on education, total (% of GDP)",..,..,..,1.13093,0.9376,1.0715,1.01164,1.03267,1.22303,1.27118,1.34349,1.51364,..,..,1.51912,1.42566,1.63177,1.69262,..,..,..,1.95247,..,2.13282,2.12508,2.17193,2.01715,2.06939,1.94014,..,2.13129,2.20222,2.05457,1.93942,..,2.1327,2.1755,1.96616,..,..,1.53554,2.47255,1.98602,..
Bangladesh,"Literacy rate, adult total (% of people ages 15 and above)",..,..,..,..,..,29.22723,..,..,..,..,..,..,..,..,..,35.3193,..,..,..,..,..,..,..,..,..,47.4855,..,..,..,..,..,46.6636,..,..,..,58.76918,57.86075,61.01554,61.0933,65.13733,72.75872,72.89297,73.9122,..
Bangladesh,"Automated teller machines (ATMs) (per 100,000 adults)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1291287,0.2018628,0.3547905,0.5125495,0.844751,1.28794,2.117126,3.715835,4.047555,4.965219,5.78296,7.108085,8.045164,8.377044,8.874074,..
Bangladesh,"Life expectancy at birth, total (years)",49.402,50.498,51.473,52.277,52.9,53.376,53.794,54.225,54.693,55.21,55.772,56.359,56.958,57.571,58.21,58.891,59.618,60.388,61.19,62.002,62.798,63.553,64.25,64.881,65.447,65.956,66.43,66.886,67.331,67.773,68.213,68.648,69.072,69.485,69.881,70.256,70.606,70.93,71.231,71.514,71.785,72.052,72.32,..
Bangladesh,Fixed broadband subscriptions (per 100 people),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.030639201,0.034649034,0.217028913,0.280920069,0.313854189,0.397641178,0.998501467,2.001827212,3.131355825,4.173005954,4.571801118,6.343544324,..
Bangladesh,Mobile cellular subscriptions (per 100 people),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000231516,0.000453101,0.000979264,0.002170705,0.003399917,0.021637715,0.061133257,0.119019423,0.218552945,0.399727257,0.81145496,1.012674358,2.030536864,6.473166692,13.57566319,24.0921838,30.93465762,35.19574195,46.02655537,56.51967967,64.35516997,76.29745621,82.10473758,84.07708629,86.07690632,94.5264735,100.2447125,..
Bangladesh,"School enrollment, secondary (gross), gender parity index (GPI)",0.33836,0.27963,..,0.2634,0.32984,0.23962,..,..,0.41734,0.40443,0.46916,0.45966,0.47699,0.49391,0.50819,..,..,..,..,..,..,..,0.94164,0.9919,1.02984,1.08193,1.1004,1.09967,1.02565,1.0652,1.05611,1.05273,1.12473,1.07799,1.12224,1.15133,1.13694,1.0818,..,1.12749,1.10351,1.16892,1.16209,..
Bangladesh,"Hospital beds (per 1,000 people)",..,..,..,..,0.215800002,0.225199997,..,..,..,0.287800014,..,..,..,..,0.304199994,0.308099985,..,..,0.304899991,..,..,..,..,0.300000012,..,0.3,0.34,..,..,0.3,..,..,..,..,..,0.6,..,..,0.6,0.8,..,..,..,..
Bangladesh,"Physicians (per 1,000 people)",..,..,..,..,0.12,..,..,..,..,0.154,0.144,..,..,..,0.177,0.188,..,..,..,0.201,..,0.2,..,..,..,0.2498,..,0.2714,0.2809,0.3084,0.3167,0.3293,0.342,0.3544,0.3635,0.3839,0.4001,0.4218,0.4887,0.4858,0.4974,0.5433,0.5809,..
Bangladesh,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,434,423,410,395,372,343,315,297,280,269,258,248,238,227,214,200,186,173,..,..
Bangladesh,Research and development expenditure (% of GDP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Secure Internet servers (per 1 million people),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,401.8140924,597.9201077,957.330071,1260.550852,1610.037312,2038.460215,3047.27862,8300.544045,13973.2428,19663.96016
Belgium,Individuals using the Internet (% of population),..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00100674,0.020072645,0.100041027,0.199446059,0.69599469,0.99166299,2.968411647,4.93808091,7.886622701,13.77221446,29.43169169,31.28839551,46.33,49.97,53.86,55.82,59.72,64.44,66,70,75,81.609996,80.71999055,82.1702,85,85.0529,86.51647666,87.67968082,88.65506428,..
Belgium,"Government expenditure on education, total (% of GDP)",5.70053,5.95694,5.4074,5.3517,5.28236,5.40638,5.28842,..,..,..,4.82646,4.55276,4.27782,..,..,..,..,5.34371,5.38223,2.97275,3.02611,..,..,..,..,..,..,..,..,5.76901,..,..,6.29139,6.41536,6.40799,6.37874,..,6.63966,6.63852,6.53944,6.54513,..,..,..
Belgium,"Literacy rate, adult total (% of people ages 15 and above)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,"Automated teller machines (ATMs) (per 100,000 adults)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.89362,83.57977,83.11542,86.71142,87.60709,87.37488,91.76123,93.31579,94.21468,93.93178,90.49142,90.01707,88.35786,87.44954,..,..
Belgium,"Life expectancy at birth, total (years)",72.1197561,72.77390244,72.69804878,73.19365854,73.20707317,73.62170732,73.88804878,73.86902439,74.40487805,74.5202439,74.73170732,75.36585366,75.56585366,75.63268293,76.05195122,76.19219512,76.35121951,76.34536585,76.69170732,76.84073171,77.18731707,77.37073171,77.47317073,77.6195122,77.72195122,77.97317073,78.07560976,78.12926829,78.87804878,78.9804878,79.3804878,79.78292683,79.6804878,80.03414634,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.49268293,81.59512195,..
Belgium,Fixed broadband subscriptions (per 100 people),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.106707834,0.224277339,1.402592269,4.457894689,7.867120571,11.92939997,15.45730835,19.06329508,23.08574576,25.51629473,27.67016385,29.03572211,30.83667139,32.17547029,33.3052753,34.32772916,35.74653262,36.50842403,37.60922178,38.34561848,39.21686286,..
Belgium,Mobile cellular subscriptions (per 100 people),0,0,0,0,0,0,0,0,0,0,0.038253351,0.072649266,0.192328161,0.308521613,0.428519577,0.512179707,0.609837111,0.66976167,1.261047868,2.309551893,4.684160644,9.531632548,17.1557654,31.07315732,54.74598263,74.59042376,78.16562364,82.59725088,87.13361692,91.0666428,92.72939576,100.3790486,105.2227353,108.4282234,111.110074,113.456517,111.077829,110.4106783,113.4877626,113.1658212,110.5368746,99.45303522,99.69668646,..
Belgium,"School enrollment, secondary (gross), gender parity index (GPI)",0.99597,1.01471,1.02075,1.02075,1.03002,1.03559,1.02957,1.03976,1.02454,1.02614,1.01535,1.01279,1.01037,1.01141,1.01567,1.01522,1.01419,1.06673,1.06899,1.08262,1.07926,..,..,1.08024,1.10614,1.11468,1.12234,1.10329,1.0983,1.11912,1.12716,1.13343,1.14633,1.15046,1.1392,1.137,1.13976,1.13605,1.13396,1.1369,1.11991,1.12067,..,..
